helper	Freq	IDs	Rel	From	To	prop	quantil95
BCL11B->-NOTCH1	5	UPN02 UPN16 UPN02 UPN14 UPN20	0.161290322580645	BCL11B	NOTCH1	0.0755379877645337	5
BCL11B->-PTEN	2	UPN04 UPN20	0.0645161290322581	BCL11B	PTEN	0.140972222222204	2
BCL11B->-USP7	2	UPN16 UPN02	0.0645161290322581	BCL11B	USP7	0.196428571428551	2
del_in_14q->-FBXW7	2	UPN23 UPN09	0.0645161290322581	del_in_14q	FBXW7	0.20079365079363	2
del_in_14q->-NOTCH1	3	UPN06 UPN09 UPN02	0.0967741935483871	del_in_14q	NOTCH1	0.212342923280401	3
del_in_14q->-STAT5B	2	UPN09 UPN02	0.0645161290322581	del_in_14q	STAT5B	0.250992063492041	2
del_in_6q->-NOTCH1	2	UPN06 UPN02	0.0645161290322581	del_in_6q	NOTCH1	0.160416666666647	2
del_in_9p->-del_in_1p	2	UPN01 UPN07	0.0645161290322581	del_in_9p	del_in_1p	0.0297619047618954	1
del_in_9p->-FBXW7	4	UPN07 UPN04 UPN23 UPN01	0.129032258064516	del_in_9p	FBXW7	0.0127314814814765	3
del_in_9p->-JAK3	2	UPN22 UPN18	0.0645161290322581	del_in_9p	JAK3	0.24659863945576	2
del_in_9p->-NOTCH1	9	UPN07 UPN02 UPN07 UPN04 UPN13 UPN18 UPN08 UPN06 UPN22	0.290322580645161	del_in_9p	NOTCH1	0.0149921709939423	8
del_in_9p->-NRAS	2	UPN13 UPN23	0.0645161290322581	del_in_9p	NRAS	0.183333333333313	2
del_in_9p->-SETD1B	2	UPN13 UPN23	0.0645161290322581	del_in_9p	SETD1B	0.183333333333313	2
del_in_9p->-STAT5B	2	UPN18 UPN07	0.0645161290322581	del_in_9p	STAT5B	0.0850340136054254	2
dup_in_9p->-NOTCH1	2	UPN18 UPN20	0.0645161290322581	dup_in_9p	NOTCH1	0.439484126984106	3
FBXW7->-NOTCH1	4	UPN09 UPN04 UPN14 UPN16	0.129032258064516	FBXW7	NOTCH1	0.40745308956913	5
JAK3->-NOTCH1	2	UPN22 UPN18	0.0645161290322581	JAK3	NOTCH1	0.24659863945576	2
LOH_in_9p->-BCL11B	4	UPN02 UPN16 UPN14 UPN20	0.129032258064516	LOH_in_9p	BCL11B	0.133076843584635	4
LOH_in_9p->-CREBBP	2	UPN12 UPN16	0.0645161290322581	LOH_in_9p	CREBBP	0.149999999999981	2
LOH_in_9p->-del_in_14q	2	UPN02 UPN09	0.0645161290322581	LOH_in_9p	del_in_14q	0.250992063492041	2
LOH_in_9p->-FBXW7	3	UPN14 UPN16 UPN09	0.0967741935483871	LOH_in_9p	FBXW7	0.15255102040814	3
LOH_in_9p->-NOTCH1	10	UPN14 UPN02 UPN11 UPN12 UPN01 UPN21 UPN16 UPN17 UPN09 UPN20	0.32258064516129	LOH_in_9p	NOTCH1	0.00217162766713852	8
LOH_in_9p->-PHF6	3	UPN14 UPN11 UPN16	0.0967741935483871	LOH_in_9p	PHF6	0.473276289682513	4
LOH_in_9p->-PIK3CD	2	UPN11 UPN12	0.0645161290322581	LOH_in_9p	PIK3CD	0.157499999999981	2
LOH_in_9p->-PIK3R1	2	UPN01 UPN16	0.0645161290322581	LOH_in_9p	PIK3R1	0.192857142857123	2
LOH_in_9p->-PTEN	4	UPN05 UPN21 UPN04 UPN20	0.129032258064516	LOH_in_9p	PTEN	0.023495370370363	3
LOH_in_9p->-STAT5B	2	UPN02 UPN09	0.0645161290322581	LOH_in_9p	STAT5B	0.250992063492041	2
LOH_in_9p->-USP7	3	UPN21 UPN16 UPN02	0.0967741935483871	LOH_in_9p	USP7	0.0982142857142684	3
LOH_in_9p->-ZBTB7A	2	UPN02 UPN12	0.0645161290322581	LOH_in_9p	ZBTB7A	0.160416666666647	2
NOTCH1->-FBXW7	3	UPN14 UPN23 UPN09	0.0967741935483871	NOTCH1	FBXW7	0.705547453703684	5
NOTCH1->-NRAS	3	UPN04 UPN23 UPN13	0.0967741935483871	NOTCH1	NRAS	0.0641666666666534	3
NOTCH1->-PIK3CA	2	UPN15 UPN02	0.0645161290322581	NOTCH1	PIK3CA	0.137499999999982	2
NOTCH1->-PIK3R1	3	UPN15 UPN01 UPN16	0.0967741935483871	NOTCH1	PIK3R1	0.0578571428571303	3
NOTCH1->-PTEN	2	UPN04 UPN20	0.0645161290322581	NOTCH1	PTEN	0.555353009259241	3
NOTCH1->-SETD1B	2	UPN23 UPN13	0.0645161290322581	NOTCH1	SETD1B	0.183333333333313	2
NOTCH1->-STAT5B	2	UPN02 UPN18	0.0645161290322581	NOTCH1	STAT5B	0.558953541734135	3
NOTCH1->-USP7	2	UPN02 UPN16	0.0645161290322581	NOTCH1	USP7	0.44345238095236	3
PHF6->-BCL11B	2	UPN14 UPN20	0.0645161290322581	PHF6	BCL11B	0.488591269841249	3
PHF6->-FBXW7	2	UPN04 UPN14	0.0645161290322581	PHF6	FBXW7	0.539285714285694	3
PHF6->-NOTCH1	3	UPN04 UPN14 UPN20	0.0967741935483871	PHF6	NOTCH1	0.473276289682513	4
PTEN->-NOTCH1	2	UPN08 UPN21	0.0645161290322581	PTEN	NOTCH1	0.555353009259241	3
STAT5B->-NOTCH1	2	UPN07 UPN09	0.0645161290322581	STAT5B	NOTCH1	0.558953541734135	3
