helper	Freq	IDs	Rel	From	To	prop	quantil95
BCL11B->-FBXW7	2	UPN03 UPN18	0.0416666666666667	BCL11B	FBXW7	0.288708513708493	2
BCL11B->-SMARCA4	2	UPN23 UPN18	0.0416666666666667	BCL11B	SMARCA4	0.276982323232303	2
CCND3->-dup_in_9p	2	UPN06 UPN10	0.0416666666666667	CCND3	dup_in_9p	0.210034013605421	2
DDX3X->-FBXW7	2	UPN04 UPN18	0.0416666666666667	DDX3X	FBXW7	0.238961038961017	2
del_in_10q->-dup_in_9p	2	UPN12 UPN10	0.0416666666666667	del_in_10q	dup_in_9p	0.328595724003867	3
del_in_10q->-PIK3R1	2	UPN02 UPN28	0.0416666666666667	del_in_10q	PIK3R1	0.171428571428552	2
del_in_11p->-KMT2C	2	UPN10 UPN08	0.0416666666666667	del_in_11p	KMT2C	0.20892857142855	2
del_in_11q->-dup_in_1q	2	UPN21 UPN17	0.0416666666666667	del_in_11q	dup_in_1q	0.128571428571411	2
del_in_11q->-PIK3R1	2	UPN12 UPN17	0.0416666666666667	del_in_11q	PIK3R1	0.185714285714266	2
del_in_12p->-FBXW7	2	UPN06 UPN31	0.0416666666666667	del_in_12p	FBXW7	0.250425170068005	2
del_in_12p->-NOTCH1	2	UPN06 UPN31	0.0416666666666667	del_in_12p	NOTCH1	0.250425170068005	2
del_in_12q->-NOTCH1	2	UPN20 UPN25	0.0416666666666667	del_in_12q	NOTCH1	0.199999999999979	2
del_in_13q->-dup_in_9p	2	UPN08 UPN21	0.0416666666666667	del_in_13q	dup_in_9p	0.149999999999981	2
del_in_13q->-NOTCH1	2	UPN08 UPN21	0.0416666666666667	del_in_13q	NOTCH1	0.149999999999981	2
del_in_14q->-dup_in_20p	2	UPN30 UPN31	0.0416666666666667	del_in_14q	dup_in_20p	0.263605442176848	2
del_in_14q->-NOTCH1	3	UPN30 UPN31 UPN24	0.0625	del_in_14q	NOTCH1	0.184687435580271	3
del_in_1p->-CREBBP	2	UPN21 UPN01	0.0416666666666667	del_in_1p	CREBBP	0.229166666666645	2
del_in_5q->-dup_in_1q	2	UPN21 UPN17	0.0416666666666667	del_in_5q	dup_in_1q	0.128571428571411	2
del_in_5q->-dup_in_9p	2	UPN12 UPN21	0.0416666666666667	del_in_5q	dup_in_9p	0.0785714285714144	2
del_in_5q->-PTEN	2	UPN26 UPN01	0.0416666666666667	del_in_5q	PTEN	0.1181818181818	2
del_in_6q->-dup_in_2p	2	UPN18 UPN19	0.0416666666666667	del_in_6q	dup_in_2p	0.111515151515134	2
